business_description,domain_name,text
A mobile app that helps people find local farmers markets.,freshfinds.app,"Business: A mobile app that helps people find local farmers markets.
Domain: freshfinds.app"
An online subscription service for eco-friendly cleaning supplies.,greenbundle.com,"Business: An online subscription service for eco-friendly cleaning supplies.
Domain: greenbundle.com"
A platform that connects freelance writers with clients.,wordsmith.com,"Business: A platform that connects freelance writers with clients.
Domain: wordsmith.com"
A website that provides personalized health and fitness advice.,fitlife.com,"Business: A website that provides personalized health and fitness advice.
Domain: fitlife.com"
A social media platform that helps people find local volunteer opportunities.,volunteerforce.com,"Business: A social media platform that helps people find local volunteer opportunities.
Domain: volunteerforce.com"
A website that connects pet owners with local pet sitters.,petsitter.com,"Business: A website that connects pet owners with local pet sitters.
Domain: petsitter.com"
An online store that sells handmade crafts from local artisans.,craftswithlove.com,"Business: An online store that sells handmade crafts from local artisans.
Domain: craftswithlove.com"
A meal delivery service that uses locally-sourced ingredients.,farmtofork.com,"Business: A meal delivery service that uses locally-sourced ingredients.
Domain: farmtofork.com"
A subscription-based meal kit delivery service that uses only locally-sourced ingredients.,localdelivery.com,"Business: A subscription-based meal kit delivery service that uses only locally-sourced ingredients.
Domain: localdelivery.com"
A platform for booking eco-friendly accommodations and activities in sustainable destinations.,sustainabletravel.com,"Business: A platform for booking eco-friendly accommodations and activities in sustainable destinations.
Domain: sustainabletravel.com"
A curated selection of sustainable fashion brands that offer ethically-made clothing.,ecofashion.com,"Business: A curated selection of sustainable fashion brands that offer ethically-made clothing.
Domain: ecofashion.com"
A website that offers free online courses in a variety of subjects.,edx.org,"Business: A website that offers free online courses in a variety of subjects.
Domain: edx.org"
A platform that connects freelance writers with clients looking for content.,freelance-writer.com,"Business: A platform that connects freelance writers with clients looking for content.
Domain: freelance-writer.com"
A social media management tool that helps businesses create and schedule posts.,social-media-manager.com,"Business: A social media management tool that helps businesses create and schedule posts.
Domain: social-media-manager.com"
A personalized meal planning service for busy families.,mealtime.com,"Business: A personalized meal planning service for busy families.
Domain: mealtime.com"
A fitness app that tracks your daily water intake and reminds you to stay hydrated.,hydrate.me,"Business: A fitness app that tracks your daily water intake and reminds you to stay hydrated.
Domain: hydrate.me"
A virtual personal shopping assistant that helps you find the perfect outfit for any occasion.,stylefinder.com,"Business: A virtual personal shopping assistant that helps you find the perfect outfit for any occasion.
Domain: stylefinder.com"
A website that connects pet owners with local pet sitters.,petsitters.com,"Business: A website that connects pet owners with local pet sitters.
Domain: petsitters.com"
A tutoring platform that connects students with qualified tutors.,tutoring.com,"Business: A tutoring platform that connects students with qualified tutors.
Domain: tutoring.com"
A search engine that specializes in local business listings.,localfinder.com,"Business: A search engine that specializes in local business listings.
Domain: localfinder.com"
A mobile app that helps people find local farmers markets.,farmersmarketfinder.com,"Business: A mobile app that helps people find local farmers markets.
Domain: farmersmarketfinder.com"
An online subscription service for eco-friendly cleaning supplies.,ecofriendlycleaning.com,"Business: An online subscription service for eco-friendly cleaning supplies.
Domain: ecofriendlycleaning.com"
